"","player_api_id","player_name","no_of_appearences","overall_rating","gk_rating","no_of_leagues"
"313",493418,"Albion Avdijaj",6,54,46,1
"314",281864,"Aldair",7,69,51,1
"315",661509,"Aldin Turkes",1,54,56,1
"316",93343,"Aldo Angoula",73,70,55,1
"317",664961,"Aldo Kalulu",1,66,46,1
"318",33759,"Aldo Pedro Duscher",38,77,136,1
"319",39345,"Aleandro Rosi",116,73,139,1
"320",467052,"Alec Luyckx",1,57,43,1
"321",450292,"Alef",1,68,48,1
"322",189192,"Aleix Vidal",50,79,47,1
"323",38131,"Alejandro Alfaro",59,75,154,1
"324",26120,"Alejandro Alonso",41,74,142,1
"325",191906,"Alejandro Arribas",141,78,111,1
"326",169217,"Alejandro Bedoya",60,75,125,2
"327",151079,"Alejandro Bergantinos",76,74,128,1
"328",45220,"Alejandro Daro Gomez",140,79,46,1
"329",10348,"Alejandro Dominguez",37,78,150,1
"330",97657,"Alejandro Faurlin",27,75,162,2
"331",303484,"Alejandro Galvez",89,76,46,2
"332",168569,"Alejandro Gonzalez",17,73,45,1
"333",288406,"Alejandro Grimaldo Garcia",1,70,50,1
"334",187150,"Alejandro Martinuccio",1,75,50,1
"335",282470,"Alejandro Pozuelo",21,72,50,3
"336",302911,"Aleksandar Bjelica",6,65,60,2
"337",364496,"Aleksandar Cavric",1,68,57,1
"338",522571,"Aleksandar Damcevski",4,64,50,1
"339",167094,"Aleksandar Ignjovski",57,73,128,1
"340",16351,"Aleksandar Kolarov",147,79,154,2
"341",426005,"Aleksandar Kovacevic",4,63,57,1
"342",37515,"Aleksandar Lukovic",51,78,151,1
"343",155739,"Aleksandar Miljkovic",5,70,47,1
"344",34067,"Aleksandar Mitreski",7,71,130,1
"345",351860,"Aleksandar Mitrovic",24,76,53,2
"346",280638,"Aleksandar Pantic",36,73,52,1
"347",164519,"Aleksandar Pesic",17,73,60,1
"348",124144,"Aleksandar Prijovic",31,71,124,2
"349",26680,"Aleksandar Rankovic",6,65,130,1
"350",278866,"Aleksandar Stevanovic",1,65,50,1
"351",69018,"Aleksandar Todorovski",61,65,62,1
"352",156534,"Aleksandar Tonev",50,67,51,4
"353",208852,"Aleksandar Trajkovski",54,68,60,2
"354",27476,"Aleksandar Vasoski",13,77,130,1
"355",306158,"Aleksander Jagiello",4,61,45,1
"356",68839,"Aleksander Kwiek",103,67,137,1
"357",3441,"Aleksander Radosavljevic",63,71,138,1
"358",22822,"Aleksander Seliga",32,67,338,1
"359",26169,"Aleksandr Hleb",41,84,163,3
"360",89828,"Aleksandrs Fertovs",22,61,50,1
"361",31191,"Aleksei Kangaskolkka",1,62,49,1
"362",395154,"Alen Halilovic",23,77,60,1
"363",173913,"Alen Melunovic",3,57,113,1
"364",191081,"Alen Stevanovic",6,74,147,1
"365",39145,"Alesandro Cordaro",104,69,146,1
"366",39763,"Alessandro Agostini",176,74,133,1
"367",39470,"Alessandro Bernardini",11,71,129,1
"368",39762,"Alessandro Budel",1,80,171,1
"369",74452,"Alessandro Carrozza",1,72,54,1
"370",197848,"Alessandro Cerigioni",7,65,54,1
"371",41424,"Alessandro Ciarrocchi",34,60,106,1
"372",154238,"Alessandro Crescenzi",7,65,50,1
"373",561819,"Alessandro Damen",11,64,321,1
"374",30727,"Alessandro Del Piero",69,87,156,1
"375",41475,"Alessandro Diamanti",133,83,148,2
"376",264842,"Alessandro Florenzi",85,79,48,1
"377",42443,"Alessandro Frara",13,68,89,1
"378",24504,"Alessandro Gamberini",154,84,145,1
"379",41816,"Alessandro Gazzi",159,77,142,1
"380",27606,"Alessandro Grandoni",1,81,159,1
"381",182843,"Alessandro Iacobucci",5,67,334,1
"382",7683,"Alessandro Iandoli",48,66,49,1
