"","team_api_id","team_name","buildUp_rating","chance_creation_rating","defense_rating","total_goals"
"279",8370,"Rayo Vallecano",141,161,178,247
"280",9910,"RC Celta de Vigo",169,179,169,184
"281",10268,"Elche CF",171,165,158,65
"282",8372,"SD Eibar",165,179,142,83
"283",7869,"Córdoba CF",146,171,129,22
"284",8306,"UD Las Palmas",147,187,171,45
"285",9956,"Grasshopper Club Zürich",164,184,160,429
"286",6493,"AC Bellinzona",NA,175,150,128
"287",10192,"BSC Young Boys",172,202,170,529
"288",9931,"FC Basel",170,186,180,619
"289",9930,"FC Aarau",156,181,150,153
"290",10179,"FC Sion",155,177,146,371
"291",10199,"FC Luzern",165,175,153,421
"292",9824,"FC Vaduz",141,137,133,100
"293",7955,"Neuchâtel Xamax",NA,190,150,171
"294",10243,"FC Zürich",157,165,163,468
"295",10190,"FC St. Gallen",146,157,155,276
"296",10191,"FC Thun",152,166,145,279
"297",9777,"Servette FC",NA,175,170,77
"298",7730,"FC Lausanne-Sports",141,164,165,99
"299",7896,"Lugano",NA,NA,NA,46
