,university_name,alumni,award,hici,ns,pub,result.cluster
306,Chiba University,0,0,0,7.7,35.4,3
307,City University of Hong Kong,0,0,0,9.9,36.9,3
308,City University of New York City College,37.1,0,11.1,5.5,17.6,3
309,Clemson University,0,0,13.6,9.4,28.2,3
310,Technical University Darmstadt,10.9,0,7.9,9.4,25.7,3
311,Dresden University of Technology,0,0,7.9,6.6,33.9,3
312,Ecole National Superieure Mines - Paris,18.8,25.8,0,0,10.1,3
313,Ecole Normale Superieure - Lyon,0,0,7.9,14.1,21.7,3
314,Eindhoven University of Technology,0,0,0,11.4,32.5,3
315,Eotvos Lorand University,19.8,0,0,12.8,24.3,3
316,Federal University of Rio de Janeiro,0,0,0,8.2,38.6,3
317,Fudan University,0,0,0,9.1,38,3
318,Gunma University,0,0,7.9,8.8,24.4,3
319,Henri Poincare University (Nancy 1),15.4,19.3,0,2.5,24,3
320,Indian Institute of Science,0,0,11.1,9.8,31.9,3
321,Indiana University-Purdue University at Indianapolis,0,0,0,9.4,38.2,3
322,Industrial Physics and Chemistry Higher Educational Institution - Paris,10.9,19.3,0,7.6,16.8,3
323,International School for Advanced Studies,0,0,0,12.2,18.8,3
324,Jagiellonian University,0,0,7.9,4.3,31.8,3
325,Kanazawa University,0,0,11.1,6.5,29.1,3
326,Korea Advanced Institute of Science and Technology,0,0,0,7.7,39.5,3
327,Linkoping University,0,0,7.9,6.8,31.6,3
328,London School of Hygiene and Tropical Medicine,10.9,0,0,14.1,27.1,3
329,Medical College of Wisconsin,0,0,7.9,8,28.7,3
330,Medical University of South Carolina,0,0,15.7,2.5,30.3,3
331,Nagasaki University,0,0,11.1,1.6,27.5,3
332,Nanjing University,0,0,0,7.2,42.1,3
333,Nanyang Technological University,0,0,0,0,42.9,3
334,National Cheng Kung University,0,0,0,1.6,39.4,3
335,National Tsing Hua University,16.6,0,0,5.1,31.5,3
336,Nihon University,0,0,7.9,4.9,28.9,3
337,Niigata University,0,0,13.6,7.1,29.4,3
338,Pohang University of Science and Technology,0,0,7.9,11.3,30.4,3
339,Polytechnic Institute of Milan,10.9,15.8,0,6.5,27.7,3
340,"Royal Holloway, U. of London",0,0,7.9,13.3,22.5,3
341,Saint Louis University,0,12.9,7.9,1.6,26.2,3
342,Saint Petersburg State University,24.3,0,0,6,31.9,3
343,San Diego State University,0,0,13.6,10,25.8,3
344,Scuola Normale Superiore - Pisa,0,0,7.9,7.4,16.6,3
345,Shanghai Jiao Tong University,0,0,0,7.3,40.9,3
346,Simon Fraser University,0,0,11.1,12.8,30.5,3
347,State University of New York Health Science Center at Brooklyn,0,15.8,11.1,7.7,17.4,3
348,Sungkyunkwan University,0,0,0,6,34.9,3
349,Technical University of Braunschweig,16.6,0,7.9,5.7,23.8,3
350,Temple University,0,0,15.7,3.8,31.7,3
351,Texas Tech University,0,0,11.1,10,30.1,3
352,The Hong Kong Polytechnic University,0,0,7.9,0,38.6,3
353,The Open University,0,0,13.6,14.4,23.3,3
354,The University of Montana - Missoula,8.9,0,11.1,17.1,16.6,3
355,The University of Texas at Dallas,0,0,13.6,4.9,23.1,3
356,The University of Tokushima,0,0,11.1,4.9,26.7,3
357,Tokyo Medical and Dental University,0,0,7.9,7.3,26.9,3
358,Tokyo University of Agriculture and Technology,0,0,7.9,6.7,25.7,3
359,University of Aberdeen,0,0,0,16.3,32.8,3
360,University of Bath,0,0,7.9,17.6,27.8,3
361,University of Bayreuth,0,0,7.9,16.2,24.4,3
362,University of Bergen,0,0,0,12.5,33.9,3
363,University of Bielefeld,0,0,15.7,12.3,25.6,3
364,University of Cagliari,0,0,11.1,8.5,22.5,3
365,University of Chile,10.9,0,0,7.2,29.2,3
366,University of Duesseldorf,0,0,7.9,9.2,32.6,3
367,University of Essex,17.7,0,7.9,7.6,20.1,3
368,University of Ferrara,0,0,7.9,4.8,27.3,3
369,University of Graz,12.5,12.9,0,6,22.1,3
370,University of Greifswald,0,9.1,7.9,8.6,22.8,3
371,University of Konstanz,0,0,11.1,15.3,23.4,3
372,University of Lausanne,0,0,0,18.5,28.2,3
373,University of Nebraska Medical Center,0,0,15.7,6.2,20.9,3
374,University of Nevada - Reno,0,0,7.9,14.7,24.5,3
375,University of New Hampshire - Durham,0,0,15.7,13,24.7,3
376,University of Newcastle,0,0,13.6,5.5,27.5,3
377,University of Oklahoma - Norman,0,0,7.9,13.1,29.5,3
378,University of Otago,0,0,11.1,11.8,31.8,3
379,University of Palermo,0,0,13.6,6,25.7,3
380,University of Paris Dauphine (Paris 9),0,27.3,7.9,0,10.5,3
381,University of Pavia,0,0,7.9,10.4,31.7,3
382,University of Perugia,0,0,7.9,9.2,29.2,3
383,University of Regensburg,0,0,7.9,13.7,32,3
384,University of Rhode Island,0,0,19.2,13.1,19.7,1
385,University of Roma - Tor Vergata,0,0,0,7.4,34.3,3
386,University of Science and Technology of China,0,0,0,10.5,40.1,3
387,University of the Mediterranean (Aix-Marseille 2),0,0,13.6,15.5,24.7,3
388,University of the Witwatersrand,25.1,0,0,7.5,26.1,3
389,University of Twente,0,0,11.1,15,27.7,3
390,University of Ulm,0,0,7.9,12.3,33.1,3
391,University of Valencia,0,0,0,7.7,38.1,3
392,University of Warsaw,17.7,0,0,8.1,35.1,3
393,University of Wyoming,0,0,7.9,12.5,22.5,3
394,Utah State University,0,0,7.9,13,23.7,3
395,Vienna University of Technology,0,0,0,14.8,30.2,3
396,Waseda University,0,0,11.1,6.4,29,3
397,Yamaguchi University,0,0,15.7,5.2,23.9,3
398,Zhejiang University,0,0,0,5.7,49.7,3
399,Aalto University,0,0,0,11.4,28.6,3
400,Autonomous University of Barcelona,0,0,0,3.3,35.4,3
401,Boston College,0,0,7.9,8.6,21.7,3
402,Drexel University,0,0,0,11.8,28.6,3
403,Ehime University,0,0,7.9,8.7,23,3
404,Flinders University,0,0,7.9,6.4,23.1,3
405,Florida International University,0,0,7.9,7.8,24.1,3
406,Gifu University,0,0,7.9,5.2,25.5,3
407,Hacettepe University,0,0,0,1.6,32.4,3
408,Hannover Medical School,0,0,0,7.2,27.9,3
409,Hanyang University,0,0,0,1.6,35.3,3
410,Howard University,15.4,0,7.9,8,18.7,3
411,Indian Institute of Technology Kharagpur,0,0,11.1,4.9,24.5,3
412,Istanbul University,0,0,0,2.5,31.1,3
413,Jilin University,0,0,0,6.2,32.3,3
414,Juntendo University,0,0,11.1,5.8,19.5,3
415,Kagoshima University,0,0,7.9,6.4,24.1,3
416,Kent State University,0,0,7.9,5.4,23,3
417,Korea University,0,0,0,0,36.8,3
418,Kumamoto University,0,0,0,8.5,27.2,3
419,Kyungpook National University,0,0,0,4.9,30.4,3
420,La Trobe University,0,0,7.9,8.3,24.2,3
421,Lehigh University,0,0,11.1,5.4,21.6,3
422,Loyola University Chicago,0,0,7.9,3.8,24.8,3
423,Massey University,0,0,7.9,7.2,23.6,3
424,Medical College of Georgia,0,0,7.9,9.2,21.7,3
425,Medical University of Graz,0,11.2,11.1,3.8,17.5,3
426,Medical University of Innsbruck,0,0,7.9,5.2,21.8,3
427,Memorial University of Newfoundland,0,0,7.9,6.4,22,3
428,Michigan Technological University,12.5,0,11.1,5.7,16,3
429,Montana State University - Bozeman,0,0,7.9,7.6,21.6,3
430,Murdoch University,0,0,11.1,4.1,19.1,3
431,Nara Institute of Science and Technology,0,0,11.1,10,18.8,3
432,National Chiao Tung University,0,0,0,0,33.7,3
433,National Yang Ming University,0,0,0,5.6,27.4,3
434,New Jersey Institute of Technology,0,0,7.9,7.3,18.4,3
